datetime,open,high,low,close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,macd,macd_signal,macd_histogram,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,adx,di_plus,di_minus,momentum_10,roc_10,trix,atr,bb_upper,bb_middle,bb_lower,bb_width,bb_position,resistance_level,support_level,resistance_distance,support_distance,trend_slope,trend_strength,trend_direction,doji,hammer,bullish_engulfing,bearish_engulfing,price_change,price_change_abs,hl_range,body_size,upper_shadow,lower_shadow,gap_up,gap_down,sma_5_20_cross,sma_10_50_cross,price_vs_sma_20,price_vs_ema_20,volatility_10,volatility_20,signal
2025-01-13 09:37:00,23237.3,23239.1,23214.7,23219.25,23236.81,23233.62,23233.02,23250.3,23312.42,23290.93,23376.9,23361.69,23444.39,23410.91,23466.42,23466.42,-51.31,-47.54,-3.77,29.39,30.43,22.18,24.56,-82.88,-46.13,40.68,10.17,37.93,-5.5,-0.02,-0.01,31.97,23520.11,23312.42,23104.72,1.78,27.57,23449.4,23172.7,0.99,0.2,-14.57,0.65,-1,0,0,0,0,-0.08,0.08,0.11,0.08,0.01,0.02,0.0,0.0,-1,-1,-0.4,-0.31,0.04,0.46,1
2025-01-13 09:39:00,23217.25,23226.1,23210.05,23223.4,23235.23,23230.21,23232.28,23245.41,23302.32,23284.49,23372.67,23356.27,23441.52,23407.19,23464.66,23464.0,-50.34,-48.1,-2.24,30.66,31.31,19.77,22.7,-81.35,-57.02,41.97,9.79,37.6,-7.45,-0.03,-0.01,30.83,23506.69,23302.32,23097.95,1.75,30.69,23449.4,23172.7,0.97,0.22,-14.06,0.63,-1,0,0,0,0,0.02,0.02,0.07,0.03,0.01,0.03,0.0,0.01,-1,-1,-0.34,-0.26,0.05,0.45,1
2025-01-13 09:41:00,23223.6,23234.3,23213.3,23231.75,23230.99,23230.72,23232.29,23242.93,23292.21,23279.47,23368.37,23351.38,23438.84,23403.72,23462.94,23461.69,-48.34,-48.15,-0.2,33.25,33.1,31.97,24.64,-39.87,-16.77,42.69,11.25,35.73,0.1,0.0,-0.01,30.13,23489.4,23292.21,23095.01,1.69,34.67,23449.4,23172.7,0.94,0.25,-12.99,0.58,-1,0,0,0,0,0.04,0.04,0.09,0.04,0.01,0.04,0.0,0.0,-1,-1,-0.26,-0.2,0.05,0.43,0
2025-01-13 09:43:00,23232.5,23254.25,23218.9,23246.05,23231.47,23235.83,23233.77,23243.49,23282.34,23276.29,23364.66,23347.25,23436.08,23400.6,23461.23,23459.54,-45.09,-47.54,2.45,37.55,36.1,50.19,33.97,-28.22,64.74,42.3,14.99,32.77,14.8,0.06,-0.01,30.5,23467.69,23282.34,23097.0,1.59,40.21,23449.4,23172.7,0.87,0.32,-11.26,0.49,-1,0,0,0,0,0.06,0.06,0.15,0.06,0.04,0.06,0.0,0.0,-1,-1,-0.16,-0.13,0.05,0.41,0
2025-01-13 09:45:00,23247.05,23247.05,23221.85,23221.85,23228.46,23231.17,23234.1,23239.56,23271.17,23271.1,23360.32,23342.34,23432.97,23397.06,23459.45,23457.18,-43.95,-46.82,2.87,33.6,33.44,50.43,44.2,-80.61,-31.64,41.94,14.1,30.81,3.3,0.01,-0.02,30.13,23442.28,23271.17,23100.06,1.47,35.59,23446.85,23172.7,0.97,0.21,-9.55,0.41,-1,0,0,0,1,-0.1,0.1,0.11,0.11,0.0,0.0,0.0,0.0,-1,-1,-0.21,-0.21,0.05,0.38,1
2025-01-13 09:47:00,23221.35,23221.35,23196.45,23200.6,23224.73,23220.98,23230.77,23232.48,23259.09,23264.39,23355.93,23336.78,23429.69,23393.17,23457.62,23454.62,-44.25,-46.31,2.05,30.56,31.31,32.25,44.29,-94.43,-206.01,42.17,13.24,35.03,-33.3,-0.14,-0.02,29.79,23413.47,23259.09,23104.71,1.33,31.06,23445.4,23172.7,1.06,0.12,-7.86,0.34,-1,0,0,0,0,-0.09,0.09,0.11,0.09,0.0,0.02,0.0,0.0,-1,-1,-0.25,-0.27,0.07,0.34,1
2025-01-13 09:49:00,23200.6,23209.1,23198.7,23203.75,23220.8,23215.24,23228.02,23227.25,23247.34,23258.61,23351.76,23331.56,23426.47,23389.42,23455.88,23452.13,-43.74,-45.79,2.06,31.55,31.98,11.59,31.42,-90.19,-166.73,42.38,12.89,34.11,-27.55,-0.12,-0.02,28.4,23379.39,23247.34,23115.28,1.14,33.5,23444.6,23172.7,1.04,0.13,-5.81,0.26,-1,0,0,0,0,0.01,0.01,0.04,0.01,0.02,0.01,0.0,0.0,-1,-1,-0.19,-0.24,0.08,0.29,1
2025-01-13 09:51:00,23204.1,23223.5,23197.75,23199.15,23214.28,23209.88,23222.64,23222.14,23235.17,23252.95,23347.08,23326.37,23423.28,23385.65,23454.26,23449.61,-43.2,-45.27,2.07,30.86,31.51,6.34,16.72,-96.37,-120.07,41.78,15.7,31.89,-53.8,-0.23,-0.02,28.21,23333.62,23235.17,23136.72,0.85,31.71,23444.6,23172.7,1.06,0.11,-3.42,0.16,-1,0,0,0,1,-0.02,0.02,0.11,0.02,0.08,0.01,0.0,0.0,-1,-1,-0.16,-0.23,0.07,0.22,1
2025-01-13 09:53:00,23199.35,23222.35,23199.35,23207.9,23206.65,23209.22,23219.06,23219.55,23223.7,23248.66,23342.64,23321.72,23420.04,23382.13,23452.69,23447.2,-41.59,-44.54,2.95,33.83,33.48,9.6,9.18,-84.62,-87.84,41.23,14.76,29.99,-35.75,-0.15,-0.02,27.86,23257.45,23223.7,23189.94,0.29,26.6,23270.9,23172.7,0.27,0.15,-0.62,0.04,-1,0,0,0,0,0.04,0.04,0.1,0.04,0.06,0.0,0.0,0.0,-1,-1,-0.07,-0.18,0.07,0.07,1
2025-01-13 09:55:00,23208.2,23233.6,23207.65,23220.0,23206.28,23212.81,23217.37,23219.63,23225.47,23245.93,23338.79,23317.73,23417.04,23378.92,23451.3,23444.94,-38.89,-43.41,4.52,37.8,36.14,16.88,10.94,-68.37,-27.71,40.09,16.67,27.98,-16.9,-0.07,-0.02,27.72,23254.15,23225.47,23196.8,0.25,40.46,23270.9,23182.85,0.22,0.16,-1.29,0.27,-1,0,0,0,0,0.05,0.05,0.11,0.05,0.06,0.0,0.0,0.0,-1,-1,-0.02,-0.11,0.06,0.06,1
2025-01-13 09:57:00,23221.3,23232.2,23219.9,23227.45,23211.65,23217.69,23218.19,23221.06,23225.61,23244.17,23335.0,23314.19,23413.95,23375.92,23450.14,23442.78,-35.74,-41.87,6.14,40.18,37.76,29.55,18.68,-58.36,11.37,39.04,16.12,27.06,8.2,0.04,-0.02,26.62,23254.29,23225.61,23196.92,0.25,53.21,23270.9,23196.45,0.19,0.13,-1.27,0.26,-1,0,0,0,0,0.03,0.03,0.05,0.03,0.02,0.01,0.01,0.0,-1,-1,0.01,-0.07,0.07,0.06,1
2025-01-13 09:59:00,23227.5,23232.2,23220.55,23225.5,23216.0,23220.29,23218.4,23221.86,23225.34,23242.39,23331.2,23310.71,23410.9,23372.94,23449.03,23440.62,-33.01,-40.1,7.09,39.75,37.5,39.66,28.7,-54.29,19.47,38.06,15.6,26.18,2.1,0.01,-0.02,25.55,23253.92,23225.34,23196.76,0.25,50.28,23270.9,23196.45,0.2,0.13,-1.19,0.23,-1,0,0,0,0,-0.01,0.01,0.05,0.01,0.02,0.02,0.0,0.0,-1,-1,0.0,-0.07,0.07,0.06,1
2025-01-13 10:01:00,23225.35,23263.75,23206.35,23262.5,23228.67,23234.36,23221.48,23229.25,23226.88,23244.31,23328.15,23308.82,23408.22,23370.75,23448.12,23438.84,-27.55,-37.59,10.04,50.55,45.04,61.83,43.68,-1.86,139.57,35.49,21.4,22.32,30.75,0.13,-0.02,27.82,23259.68,23226.88,23194.08,0.28,104.3,23270.9,23196.45,0.04,0.28,-0.56,0.04,-1,0,0,1,0,0.16,0.16,0.25,0.16,0.01,0.08,0.0,0.0,1,-1,0.15,0.08,0.09,0.07,1
